address,city,name,postalCode,province,websites
324 Main St,Massena,McDonald's,13662,NY,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
530 Clinton Ave,Washington Court House,Wendy's,43160,OH,http://www.wendys.com
408 Market Square Dr,Maysville,Frisch's Big Boy,41056,KY,http://www.frischs.comhttps://www.frischs.com/location/maysville-ky/
6098 State Highway 37,Massena,McDonald's,13662,NY,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
139 Columbus Rd,Athens,OMG! Rotisserie,45701,OH,http://www.omgrotisserie.comhttp://omgrotisserie.com
4182 Tonya Trl,Hamilton,Domino's Pizza,45011,OH,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
590 S Main St,Englewood,Domino's Pizza,45322,OH,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
401 N Jennings St,Saluda,McDonald's,29138,SC,http://www.mcdonalds.com
205 W Church St,Batesburg,Wendy's,29006,SC,http://www.wendys.com
2711 W. Kings Highway Ste. 18,Paragould,Pizza Hut,72450,AR,http://www.pizzahut.com
613 W Center St,Sheridan,SONIC Drive In,72150,AR,https://locations.sonicdrivein.com/ar/sheridan/613-w--center-street.html
512 Highway 425 S Lot B,Monticello,Domino's Pizza,71655,AR,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps
1535 NW 50th St,Oklahoma City,McDonald's,73118,OK,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
125 Towne Center Dr,Lexington,Domino's Pizza,40511,KY,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
66 14th St.,Tell City,Long John Silver's,47586,IN,http://www.ljsilvers.com
301 University Blvd,Louisville,McDonald's,40208,KY,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
